id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
35267208,流浪地球2,,https://dou.img.lithub.cc/movie/35267208.jpg,2023-01-22(中国大陆),https://movie.douban.com/subject/35267208/,8.3,"科幻,冒险,灾难",5,抛开主题，为特效打工人打满分,,2023-02-02 14:31:11,2023 / 中国大陆 / 科幻 冒险 灾难 / 郭帆 / 吴京 刘德华
35465232,狂飙,,https://dou.img.lithub.cc/movie/35465232.jpg,2023-01-14(中国大陆),https://movie.douban.com/subject/35465232/,8.5,"剧情,犯罪",4,现实可没那么美好,,2023-02-02 14:30:29,2023 / 中国大陆 / 剧情 犯罪 / 徐纪周 / 张译 张颂文
35662223,去有风的地方,,https://dou.img.lithub.cc/movie/35662223.jpg,2023-01-03(中国大陆),https://movie.douban.com/subject/35662223/,8.7,"剧情,爱情",4,不论剧情，论发量和脸蛋！,,2023-01-07 16:29:47,2023 / 中国大陆 / 剧情 爱情 / 丁梓光 / 刘亦菲 李现
35875029,我们民谣2022,,https://dou.img.lithub.cc/movie/35875029.jpg,2022-12-23(中国大陆),https://movie.douban.com/subject/35875029/,7.6,"音乐,真人秀",4,,,2022-12-26 00:07:13,2022 / 中国大陆 / 音乐 真人秀 / 姜滨 / 李宇春 张亚东
35814636,塔尔萨之王 第一季,,https://dou.img.lithub.cc/movie/35814636.jpg,2022-11-13(美国),https://movie.douban.com/subject/35814636/,8.4,"剧情,犯罪",4,,,2022-12-19 16:30:16,2022 / 美国 / 剧情 犯罪 / 本杰明·塞曼诺夫 艾伦·考特勒 / 西尔维斯特·史泰龙 加内特·赫德兰
30291070,财阀家的小儿子,,https://dou.img.lithub.cc/movie/30291070.jpg,2022-11-18(韩国),https://movie.douban.com/subject/30291070/,7.1,"剧情,爱情,奇幻",4,,,2022-12-19 16:29:52,2022 / 韩国 / 剧情 爱情 奇幻 / 郑大允 / 宋仲基 李星民
34444648,三体,,https://dou.img.lithub.cc/movie/34444648.jpg,2022-12-10(中国大陆),https://movie.douban.com/subject/34444648/,3.8,"剧情,科幻,动画",2,,,2022-12-19 16:29:35,2022 / 中国大陆 / 剧情 科幻 动画 / 林铭浩 / 马正阳 范哲琛
26654184,万里归途,,https://dou.img.lithub.cc/movie/26654184.jpg,2022-09-30(中国大陆),https://movie.douban.com/subject/26654184/,7.2,"剧情,战争",3,,,2022-12-19 16:28:43,2022 / 中国大陆 / 剧情 战争 / 饶晓志 / 张译 王俊凯
6011805,一九四二,,https://dou.img.lithub.cc/movie/6011805.jpg,2012-11-29(中国大陆),https://movie.douban.com/subject/6011805/,8.2,"剧情,历史,战争",4,,,2022-12-19 16:28:01,2012 / 中国大陆 / 剧情 历史 战争 灾难 / 冯小刚 / 张国立 张默
35161592,风吹半夏,,https://dou.img.lithub.cc/movie/35161592.jpg,2022-11-27(中国大陆),https://movie.douban.com/subject/35161592/,8.2,"剧情,爱情",4,80年代、90年代，热气腾腾。,,2022-12-10 09:54:44,2022 / 中国大陆 / 剧情 爱情 / 傅东育 毛溦 / 赵丽颖 欧豪
35441582,6/45,,https://dou.img.lithub.cc/movie/35441582.jpg,2022-08-24(韩国),https://movie.douban.com/subject/35441582/,7.6,"剧情,喜剧",4,,,2022-12-08 22:23:13,2022 / 韩国 / 剧情 喜剧 / 朴奎泰 / 高庚杓 李伊庚
30378843,1899,,https://dou.img.lithub.cc/movie/30378843.jpg,2022-11-17(德国),https://movie.douban.com/subject/30378843/,6.7,"剧情,科幻,悬疑",2,什么玩意儿，自个儿玩自个儿？,,2022-11-19 23:19:19,2022 / 德国 美国 / 剧情 科幻 悬疑 恐怖 / 巴伦·博·欧达尔 / 艾米丽·比查姆 阿奈林·巴纳德
35652715,杰伊·比姆,,https://dou.img.lithub.cc/movie/35652715.jpg,2021-11-02(印度),https://movie.douban.com/subject/35652715/,8.7,"剧情,犯罪",5,这，如此显然的诬陷，竟然盛行！,,2022-08-23 10:12:03,2021 / 印度 / 剧情 犯罪 / 塔·塞·纳纳维尔 / 苏利耶·西瓦库马 Lijo Mol Jose
30267287,犯罪都市2,,https://dou.img.lithub.cc/movie/30267287.jpg,2022-05-18(韩国),https://movie.douban.com/subject/30267287/,7.5,"动作,犯罪",3,走过去，拿走凶器！,,2022-08-22 19:58:42,2022 / 韩国 / 动作 犯罪 / 李相龙 / 马东锡 孙锡久
6893932,壮志凌云2：独行侠,,https://dou.img.lithub.cc/movie/6893932.jpg,2022-05-18(戛纳电影节),https://movie.douban.com/subject/6893932/,8,动作,4,爽片，爽就对了！,,2022-08-22 19:58:06,2022 / 美国 中国大陆 / 动作 / 约瑟夫·科辛斯基 / 汤姆·克鲁斯 詹妮弗·康纳利
